id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
0,131.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.500207249,0.444139023,35.17991165,6960.10751
1,191.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.635315515,0.521136035,41.05919357,8489.69192
2,14.0,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.350992769,0.388819023,29.13659362,3519.43131
3,569.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.480072982,0.440675594,34.89511705,5647.71226
4,167.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.391627198,0.404796043,31.79835142,4045.47966
5,505.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.485336051,0.433844688,34.02922281,5645.14663
6,572.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.571708025,0.489992416,39.23039094,7024.74836
7,241.0,12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.507541905,0.453940904,36.6742427,5902.33288
8,92.0,12.5,0.25,0.25,0.25,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.599556267,0.497978979,41.21921269,7570.60862
9,741.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.509158377,0.424666745,36.8469565,6097.44285
10,669.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.551891558,0.463502091,38.86811018,7071.61532
11,214.0,12.5,0.25,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.547743879,0.430253104,35.18597077,6772.93347
12,211.0,12.5,0.25,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.502398084,0.449306369,35.93380223,6254.65511
13,667.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.51204794,0.460796109,37.20361319,8634.77583
14,593.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.58337988,0.482227496,40.4613306,7628.6476
15,569.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.535877448,0.462697311,37.25789282,6188.47714
16,41.0,25.0,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.462752296,0.426371416,33.30696962,5322.84043
17,582.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.488485703,0.438875462,35.11807556,5700.24324
18,590.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.493693466,0.442865602,35.43484314,5996.07855
19,461.0,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.579981861,0.47767525,39.38136072,7152.13259
20,604.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.407564155,0.409438226,31.1279858,4357.82292
21,464.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.53427161,0.470881708,38.54027918,6529.98232
22,712.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.567958657,0.463982188,37.62977375,6779.98166
23,128.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.463097152,0.42727728,33.97877886,5360.87391
24,217.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.553032347,0.476308423,38.64034468,6072.83443
25,198.0,12.5,0.25,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.575902218,0.488527456,39.18303615,7234.25525
26,236.0,12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.342841074,0.388819023,28.88711983,3502.08292
27,80.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.249334678,0.262139643,23.41277571,2605.69676
28,491.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.612974151,0.506024348,42.40766225,7935.09476
29,17.0,37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.37680364,0.393118491,29.83315835,3764.31973
30,594.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.490965919,0.449871489,35.23885567,5767.17836
31,299.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.566076664,0.479866804,38.34178123,7219.76039
32,135.0,12.5,0.25,0.25,0.38,0.25,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.502398084,0.452680279,36.3623002,6155.89609
33,304.0,12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.463039338,0.470719039,32.88840203,5628.8828
34,591.0,25.0,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.489326401,0.416785571,32.15868546,5946.05226
35,45.0,25.0,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.45682495,0.417908804,33.29902167,4947.60566
36,188.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.622622866,0.513260507,43.7550339,8013.62631
37,571.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.496270554,0.445284233,36.68541263,6097.44285
38,61.0,12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.498793068,0.419851618,35.18441169,6026.06365
39,645.0,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.480072982,0.449871489,35.11873926,5345.99106
40,102.0,12.5,0.25,0.25,0.25,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.576589776,0.481349777,40.86547798,7510.79057
41,312.0,12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.57467888,0.485218942,39.22848885,6941.82413
42,664.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.58492102,0.492748552,40.81318096,7861.46538
43,497.0,25.0,0.5,0.25,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.437188153,0.416107584,32.76315093,4710.85865
44,740.0,25.0,0.5,0.38,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.544066693,0.462227496,37.75813832,6135.69998
45,745.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.402052391,0.405898222,31.08154655,4393.52743
46,162.0,12.5,0.25,0.25,0.38,0.38,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.569713565,0.464165541,38.17659701,6683.20061
47,221.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.426064568,0.417908804,32.02764698,5217.13976
48,563.0,25.0,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.429092481,0.409907136,31.77298278,4580.393
49,484.0,25.0,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.40294843,0.409260571,31.59741611,4888.50303
50,672.0,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.444908279,0.396533319,31.78135831,4865.39997
51,391.0,25.0,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.407072571,0.4002977,30.5797224,4228.81888
52,711.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.395911623,0.405898222,31.78225878,4489.22384
53,556.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.536209474,0.462547404,37.71251297,6869.7776
54,336.0,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.523845567,0.468039601,37.3001964,6628.76363
55,335.0,12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.551234401,0.478135139,39.12726257,6929.5548
56,234.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.455795758,0.406618165,32.69048728,5482.0813
57,337.0,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.58492102,0.488527456,40.17821466,6852.97971
58,534.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.384981338,0.390310494,30.79374092,3837.51296
59,42.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.462996546,0.435851115,34.01445364,5429.68161
60,145.0,12.5,0.25,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.532704207,0.464561582,37.62977375,6475.89456
61,699.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.52698696,0.438586418,36.25720816,6779.98166
62,584.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.483671436,0.438612787,34.17462527,5807.00693
63,661.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.391627198,0.400083453,30.13586876,3911.42225
64,628.0,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.530916639,0.471828735,37.90930402,6898.39095
65,341.0,12.5,0.25,0.25,0.75,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.595052932,0.495898084,41.54582317,7541.6674
66,455.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.582604099,0.491414051,40.22738685,7793.44206
67,444.0,12.5,0.25,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.595306377,0.497916665,41.20294287,7565.10416
68,283.0,12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.58492102,0.482908968,40.26540842,6830.96605
69,741.0,25.0,0.5,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.62818447,0.513728593,44.39094402,8109.2305
70,352.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.633144179,0.520974303,44.2785829,8440.96097
71,769.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.249334678,0.320727305,23.41277571,2605.69676
72,30.0,25.0,0.75,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.33163021,0.370487534,28.13589892,3244.32926
73,434.0,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.483805569,0.446570029,35.55753695,5739.92493
74,593.0,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.632108665,0.524860365,43.95536146,8174.46338
75,424.0,12.5,0.25,0.38,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.63746314,0.529501569,46.13942523,8440.96097
76,175.0,12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.600086778,0.492693356,40.03764422,7064.16978
77,372.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.633144179,0.5251356,44.57214339,8634.77583
78,584.0,25.0,0.5,0.25,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.349908358,0.377915162,28.13589892,3494.94296
79,22.0,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.402052391,0.407609786,31.78225878,4010.55215
80,447.0,12.5,0.25,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.573204799,0.486889324,40.2744187,6826.20873
81,517.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.541142146,0.474776543,38.6454264,6948.2288
82,724.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.404446048,0.409987805,31.11988062,4112.89349
83,681.0,25.0,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.548724554,0.468039601,37.69400303,6583.45789
84,713.0,25.0,0.5,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.470593127,0.430077888,34.87322424,5637.9843
85,557.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.611462998,0.503636289,42.79905453,7914.17118
86,310.0,12.5,0.25,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.511522719,0.465680233,37.75813832,6315.23321
87,579.0,25.0,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.502842336,0.452143551,36.82658691,6190.66597
88,511.0,25.0,0.5,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.463097152,0.428903862,33.95797729,5428.10602
89,690.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.429210588,0.409976946,31.67018669,4575.76991
90,561.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.385021951,0.416802269,32.88840203,3828.16556
91,159.0,12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.403217329,0.409862936,31.02327724,4303.94303
92,488.0,20.0,0.537,0.25,0.409,0.058,77.4,46.8,64.7,55.8,27.0,45.8,3.77,0.06,0.608455265,0.506002075,42.0271829,7669.81182
93,616.0,25.0,0.5,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.450102564,0.414710939,33.3039002,4920.13663
94,36.0,25.0,0.25,0.25,0.38,0.25,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.473142233,0.436376172,34.78105469,5498.46022
95,657.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.502785174,0.430368732,35.78105469,6157.05484
96,359.0,12.5,0.25,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.543722877,0.445134287,38.65527495,7175.06898
97,644.0,25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.605758307,0.45981941,38.19630554,7920.06175
98,127.0,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.533393093,0.452680279,36.31159312,6526.98819
99,177.0,12.5,0.25,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.466297848,0.42727728,34.02922281,5715.0084
100,313.0,12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.555568429,0.455179564,38.17659701,7369.68559
101,479.0,12.5,0.25,0.38,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.520587192,0.460796109,37.25789282,6608.90751
102,653.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.518776342,0.458966196,35.18597077,6493.47253
103,130.0,12.5,0.25,0.25,0.25,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.559094277,0.479607332,38.4173944,6771.67497
104,565.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.442869304,0.424609234,33.85831713,5042.64034
105,599.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.404617089,0.404796043,32.28899894,4334.84122
106,702.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.427977027,0.407126353,32.69048728,4393.52743
107,395.0,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.594836828,0.495898084,41.86547798,7044.56761
108,511.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.447115975,0.425532717,33.31223192,5004.15434
109,738.0,25.0,0.5,0.38,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.376670148,0.401091418,30.39027791,3828.16556
110,446.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.549794912,0.45230956,38.63984283,7565.21124
111,614.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.546259537,0.471713424,39.18675925,6909.43
112,712.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.564904359,0.462760521,37.74750888,7007.66825
113,729.0,25.0,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.482854142,0.445065287,36.31159312,6058.64876
114,162.0,12.5,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.474162324,0.411271911,33.49849454,5773.00842
115,546.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.566645314,0.471871207,37.55556802,6626.8515
116,617.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.553032347,0.470176914,38.54027918,6528.79888
117,544.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.487780771,0.438095887,34.89995717,5695.56442
118,485.0,25.0,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.468832886,0.411271911,33.99420814,5403.69852
119,264.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.532426131,0.447536765,36.31114278,6898.39095
120,262.0,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.515012624,0.43226586,36.24969463,6239.53349
121,396.0,12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.641617746,0.513728593,43.39094402,8655.67644
